Row_Num,Species,Population,Study Site,UniID,Mom,ID,Mi,RGR11,RGR17,RGR23,RGR29,RGR35,Pupated,Time to Pupation,Pupa wt,Eclosed,Time to Eclosion,Sex,Butt. Wt,Fecundity
196,Pieris_rapae,Seattle_WA,CUH_UW,30.2,30,2,12.83,NA,0.00987152,0.016227869,NA,0.019410492,0,NA,NA,0,NA,NA,NA,NA
197,Pieris_rapae,Seattle_WA,CUH_UW,30.3,30,3,37.24,0.009591138,NA,0.001802193,0.008544006,-0.002789224,0,NA,NA,0,NA,NA,NA,NA
198,Pieris_rapae,Seattle_WA,CUH_UW,30.9,30,9,46.77,0.00844659,NA,0.016982199,0.013568641,0.039328418,0,NA,NA,0,NA,NA,NA,NA
199,Pieris_rapae,Seattle_WA,CUH_UW,31.9,31,9,36.9,0.006669395,0.01004773,0.018960034,0.023233577,0.021967499,1,7,203.02,1,13,M,129.6,NA
200,Pieris_rapae,Seattle_WA,CUH_UW,31.10,31,10,27.82,0.004174258,0.007527149,0.00547099,0.03170891,0.01202124,0,NA,NA,0,NA,NA,NA,NA
201,Pieris_rapae,Seattle_WA,CUH_UW,31.11,31,11,28.26,0.003436057,0.011246963,0.027277066,0.019626502,0.017250198,1,10,210.28,1,16,F,94.75,48
202,Pieris_rapae,Seattle_WA,CUH_UW,31.1,31,1,28.54,0.001466186,0.008820967,NA,0.026884812,0.032823528,1,8,185.07,1,16,F,82.77,12
203,Pieris_rapae,Seattle_WA,CUH_UW,31.3,31,3,52.17,0.007904956,NA,0.019609033,0.021699533,0.042291875,1,8,184.74,1,16,F,77.64,11
204,Pieris_rapae,Seattle_WA,CUH_UW,31.4,31,4,50.22,0.004428076,NA,0.010501043,0.021555475,0.034062783,0,NA,NA,0,NA,NA,NA,NA
205,Pieris_rapae,Seattle_WA,CUH_UW,31.6,31,6,47.2,0.005362366,NA,0.021300139,0.01685166,0.042516164,1,8,174.4,1,15,NA,NA,NA
206,Pieris_rapae,Seattle_WA,CUH_UW,31.7,31,7,49.33,0.002068927,NA,0.020370501,0.031637461,0.036727686,1,8,190.74,1,16,NA,NA,NA
