"","dates","DOY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP","SNOWDENS","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",2017-12-31 12:00:00,1,0,16.7299445726114,15.823660052794,42.139929350641,44.646672167976,0.53542477323661,0.846559632419279,0,0,89.2149273359697,81.9199146640175,51.8452405962932,11.6981487080795,0,0,0,0,0.2178,19.4888979794197,17.598380946186,17.3161799263815,17.0623247593798,17.2153856512241,17.5435335221285,18.2877314228361,18.8986649007325,18.9815040958474,18.9830239232546
"2",2017-12-31 13:00:00,1,60,15.0884729543389,15.9113962351305,39.617757166893,37.5806112450809,0.309382130924305,0.489163811844455,0,0,88.635171464989,90,0,11.4579056952261,0,0,0,0,0.2178,12.8214811085628,16.6746327275935,17.0947501415775,17.199023182933,17.3190506216762,17.5742786972942,18.2538277849698,18.8875107836619,18.9811924223684,18.9830239232546
"3",2017-12-31 14:00:00,1,120,14.3342026610928,15.3337409591918,39.2330404901032,36.7840522597498,0.282705969156736,0.446986156216385,0,0,88.0109977415651,90,0,10.3148536351237,0,0,0,0,0.2178,11.6217654599975,15.9933058631291,16.6167811064383,17.138211543064,17.3685568905226,17.6085389152144,18.2264391229365,18.8761213738913,18.9808423709427,18.9830239232546
"4",2017-12-31 15:00:00,1,180,12.2426785995901,12.8293020039331,53.7459013933463,51.7149795092356,0.594784425462363,0.940413125721433,0,0,85.3844180802986,90,0,8.5507630147568,0,0,0,0,0.2178,10.4192401226145,15.5758841859921,16.1723661543787,16.9976907957525,17.3543844477412,17.6285147376974,18.2042052997293,18.8646066987829,18.980453589752,18.9830239232546
"5",2017-12-31 16:00:00,1,240,11.0544405677463,11.5723957930919,58.1269250187839,56.1646016698429,0.955886965989927,1.51135203115679,0,0,82.4143154881945,90,0,6.85392604085177,0,0,0,0,0.2178,9.27340666576727,14.9891324476648,15.872904890226,16.8123121595529,17.2954413863115,17.6263819850827,18.1848946632113,18.8530414338133,18.9800261216852,18.9830239232546
"6",2017-12-31 17:00:00,1,300,9.33632527683151,9.6038039993484,65.1605041589086,63.998283300733,0.9899353718099,1.56518593529458,0,0,77.8541494517733,90,0,5.20639667211975,0,0,0,0,0.2178,8.40928288834468,14.2811656760445,15.7242542434353,16.5773191197802,17.2122977327261,17.6001470950922,18.1663186290744,18.8414498800582,18.9795601604191,18.9830239232546
"7",2017-12-31 18:00:00,1,360,8.33849139679962,8.5098328484058,71.6402681578185,70.8122270536156,0.966858599206307,1.5286992706701,0,0,72.4915918511384,90,0,4.09275517155305,0,0,0,0,0.2178,7.747803585115,14.8317775344411,14.8739004436307,16.4562101898442,17.0845693852073,17.5555513839257,18.14648433352,18.8298205987817,18.9790559112548,18.9830239232546
"8",2017-12-31 19:00:00,1,420,7.88815228787959,7.89173703405405,77.3757275157936,77.356829035774,0.708388063812003,1.12003173720519,0,0,67.1233529807729,90,0,3.10910174558296,0,0,0,0,0.2178,7.87660257554437,14.2980738090071,14.8470851905177,16.2137631018732,16.9656195308629,17.4915876228886,18.1240360911438,18.8181140530572,18.9785136020612,18.9830239232546
"9",2017-12-31 20:00:00,1,480,7.47977294964332,7.37779468127563,79.7228445053225,80.2808430636285,0.768508379345636,1.21508791458642,0,0,92.0163880497574,90,0,2.6287446130745,0,0,0,0,0.2178,7.81405250350341,14.0701490337697,14.7025097013032,16.0230554735224,16.8376355432175,17.4154784521316,18.0980579407811,18.8062669170167,18.9779329459699,18.9830239232546
"10",2017-12-31 21:00:00,1,540,6.39483676178996,5.9082987994505,85.104676884971,88.0146695554026,0.814221741618771,1.28736527099012,0,0,91.9341529251937,90,0,1.18561503443146,0,0,0,0,0.2178,8.009639804663,13.3039577736131,14.2256963666837,15.7842310334766,16.7022476539805,17.3307430715249,18.0681110964093,18.7942112634947,18.977313652841,18.9830239232546
"11",2017-12-31 22:00:00,1,600,5.61703488471014,4.83725335272755,92.0218814222334,97.1558899250804,0.49046193966232,0.775468936273324,0,0,91.7423987172828,90,0,0.147642520600243,0,0,0,0,0.2178,7.95094401281743,12.8898861142745,13.8252348515478,15.4835578728835,16.5319763757626,17.2337039015831,18.0338690641449,18.7818743519888,18.9766551172526,18.9830239232546
"12",2017-12-31 23:00:00,1,660,5.40109905984288,4.62062239613187,93.9908921800993,99.2490223901946,0.593860573109211,0.938952423588123,0,0,91.6087142663099,90,0,-0.0869539980048444,0,0,0,0,0.2178,7.82634659972593,12.6209800100533,13.5441450570915,15.2080488154251,16.3436325803662,17.1211967961795,17.9946296142309,18.769176252199,18.9759564658604,18.9830239232546
"13",2018-01-01 00:00:00,1,720,4.59499004740081,3.76900250909621,94.365231923954,100,0.698848544359197,1.10494881148883,0,0,91.5782526247945,90,0,-0.727734764725653,0,0,0,0,0.2178,7.24870228143165,12.3134438701901,13.2836162022145,14.9630192456584,16.1558951556967,16.9970652556944,17.9498411343488,18.7560268066934,18.9752165230701,18.9830239232546
"14",2018-01-01 01:00:00,1,780,4.47168002532529,3.64815642212538,94.3761368377098,100,0.593875935399862,0.938976712892198,0,0,91.5918963147901,90,0,-0.444563083990261,0,0,0,0,0.2178,7.0307046053716,11.9977312462405,13.0060388011989,14.7251804228389,15.9710746216703,16.8662467882443,17.8994243244743,18.7423325003856,18.9744337875731,18.9830239232546
"15",2018-01-01 02:00:00,1,840,4.6376447055828,3.76768506493973,94.0752888608215,100,0.476043539142921,0.75267201604494,0,0,91.6369651029208,90,0,-0.284521978018972,0,0,0,0,0.2178,7.22669865358096,11.7983747697362,12.7771411962563,14.4977760702132,15.7877630758458,16.7312841341239,17.8436170454169,18.7280041660565,18.9736064378876,18.9830239232546
"16",2018-01-01 03:00:00,1,900,5.26760734411535,4.47465619875886,91.4655516377627,96.6725373631032,0.409357374977673,0.647234581236079,0,0,91.7994918690271,90,0,0.297928003726327,0,0,0,0,0.2178,7.56212828299524,11.6943713025782,12.6178359534034,14.2981037575556,15.6109200794132,16.5943123993112,17.7828027139053,18.7129607987532,18.972732358305,18.9830239232546
"17",2018-01-01 04:00:00,1,960,5.39969385876518,4.64219339254163,89.9306727169835,94.8092004937603,0.479190246730878,0.757647272611588,0,0,91.8583994287678,85.3013430494021,22.0786805683976,0.262219230674816,0,0,0,0,0.2178,7.65688541079062,11.6264298294118,12.5087136993428,14.1319745468836,15.4467852221292,16.4583668368185,17.7175338467222,18.6971320770612,18.9718091743914,18.9830239232546
"18",2018-01-01 05:00:00,1,1020,7.1832392693082,6.73734108635007,87.6876137454187,90.4134792002053,0.427532438857445,0.67597115856,0,0,91.9156471851425,76.3513388741149,158.790405215642,2.23777924751795,0,0,0,0,0.2178,8.48383465374399,11.6285803222179,12.4332523964936,13.9917524664385,15.2974325660255,16.3264667918034,17.6485556414517,18.6804615725937,18.9708342981996,18.9830239232546
"19",2018-01-01 06:00:00,1,1080,9.37310245586024,9.13458145567434,77.1512709364259,78.4016262645066,0.298201399278257,0.471485966990095,0,0,92.0172953410786,69.0802654928159,267.341939035423,4.38020120956628,0,0,0,0,0.2178,10.026129747814,11.8664529227143,12.4990426206455,13.8984104682479,15.1653683372576,16.201084225897,17.5767506231798,18.6629113513368,18.9698049354748,18.9830239232546
"20",2018-01-01 07:00:00,1,1140,11.3716784608673,11.325991100611,66.8647602900647,67.0675591348736,0.275923392852728,0.436262230858829,0,0,92.0536467865671,64.0912203810117,391.824776859251,6.55211979753909,0,0,0,0,0.2178,11.4951668207388,12.3284628042889,12.7081423942157,13.8803213351931,15.0666371046357,16.0852711321691,17.5031154374264,18.6444578979799,18.9687183025514,18.9830239232546
"21",2018-01-01 08:00:00,1,1200,13.4997477125207,13.8493981542543,57.2450302651893,55.9571984343386,0.47654257659006,0.753461043708452,0,0,92.0707687784487,61.9550941683906,461.309869326744,8.98600182066366,0,0,0,0,0.2178,12.4589592974008,12.827247630883,12.9749628024229,13.9517909855025,15.0053726644713,15.9866553953952,17.4288780762552,18.6251012340596,18.9675715316264,18.9830239232546
"22",2018-01-01 09:00:00,1,1260,15.2989273147442,16.1819325552676,42.4530963551998,40.1195271891119,0.768200465173798,1.21460107176338,0,0,92.0844813498939,62.9693552330184,456.095682841831,11.4507749480022,0,0,0,0,0.2178,12.4047291682127,12.9256191895596,13.3919047313243,14.0335566677358,14.9928054484227,15.9082705731334,17.3557498427837,18.6048672785994,18.9663618137524,18.9830239232546
