"","dates","DOY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP","SNOWDENS","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"1",1986-03-31 12:00:00,91,0,22.5043983597699,22.7250232326355,58.4333595030817,57.6559800336559,1.3514971764265,2.13685098277235,0,0,86.780333920187,65.3805852695537,390.488392621623,18.7325650526905,0,0,0,0,0.2178,21.6818480232688,19.8214364925369,19.8299000069032,19.4174973471222,19.4351218511716,19.5925065449094,20.0643240826702,20.4635121950393,20.5116500937599,20.512377309028
"2",1986-03-31 13:00:00,91,60,21.603456127278,22.4658355285803,64.2424978356377,60.9516338502996,1.58792454708201,2.51066608808787,0,0,82.0284344851818,76.591342679183,247.194672102978,18.4070154748813,0,0,0,0,0.2178,18.2580119031379,19.501191886515,19.6104457212907,19.5306092117568,19.5185673530155,19.6284370817041,20.0437625854468,20.4561225569611,20.5114655527007,20.512377309028
"3",1986-03-31 14:00:00,91,120,19.8183848596004,20.5046398719177,70.2631061834495,67.3426374082664,1.59381025189088,2.51997197072271,0,0,74.8738602218215,88.2381917927744,10.5936150866095,16.2402845943286,0,0,0,0,0.2178,17.1537150949487,19.1820179370058,19.4056662587947,19.5259978958123,19.5696606611593,19.6652864499086,20.0285327470771,20.4486218133249,20.5112553251152,20.512377309028
"4",1986-03-31 15:00:00,91,180,17.7732113479085,18.2102052052618,75.9517355904875,73.892106166718,1.44129049063678,2.2788231119513,0,0,65.1006929816204,90,0,13.7348775046853,0,0,0,0,0.2178,16.118214104752,18.8284246834166,19.1813193192011,19.4693041325316,19.5849271804816,19.6933920418183,20.0175738660401,20.4410988230822,20.5110193694364,20.512377309028
"5",1986-03-31 16:00:00,91,240,17.2021966096331,17.5696144153329,78.2591940302075,76.4626275604923,1.33695173603147,2.11385319990967,0,0,57.0618242267039,90,0,12.9653504025124,0,0,0,0,0.2178,15.8359444453123,18.5388174187514,18.9733547732365,19.3770013157431,19.5705550821947,19.7078490950569,20.009404589236,20.4336151625355,20.5107579364252,20.512377309028
"6",1986-03-31 17:00:00,91,300,15.5324211827769,15.6981910968227,81.9239462907353,81.0581748381343,1.38506010208544,2.18991729465962,0,0,45.6411964129138,90,0,10.9730595906524,0,0,0,0,0.2178,14.9106915817094,18.3008949327659,18.8012792411767,19.2724099257745,19.5347994253307,19.707459045065,20.0024876729905,20.4262010433832,20.5104714346212,20.512377309028
"7",1986-03-31 18:00:00,91,360,14.173508575696,14.1954287443914,85.6017693733061,85.4802370748715,1.45085426321611,2.29394438426442,0,0,32.7694415241668,90,0,9.46383427994624,0,0,0,0,0.2178,14.0903568005824,18.0296201546627,18.5984531309152,19.1577961179885,19.4837538720849,19.6936758616055,19.9954927187458,20.4188602887687,20.5101603250869,20.512377309028
"8",1986-03-31 19:00:00,91,420,13.7333105531389,13.7144303480499,87.6056870621918,87.7133473467479,1.55042420333984,2.45137432797364,0,0,25.9308923924122,90,0,8.99095303924003,0,0,0,0,0.2178,13.806116954746,17.8037077548495,18.3946033744933,19.0299286393135,19.4187942087672,19.6680485832463,19.9873853913619,20.4115758873224,20.5098250333411,20.512377309028
"9",1986-03-31 20:00:00,91,480,12.2871990310518,12.1268374789989,88.9808469152879,89.9252304780832,1.59400592220699,2.52028134488537,0,0,23.119151029343,90,0,7.40980407124101,0,0,0,0,0.2178,12.909888433289,17.589210124895,18.200634135176,18.8992199621973,19.3432088721762,19.6318709083324,19.9773678704433,20.4043152232352,20.5094658841358,20.512377309028
"10",1986-03-31 21:00:00,91,540,10.9434277854386,10.7000693833822,91.2382542369826,92.7282340191946,1.62659649855424,2.57181027614134,0,0,17.143837231132,90,0,6.16846625642597,0,0,0,0,0.2178,11.8932110118687,17.2974876883201,17.9626035676196,18.7583913043842,19.2586736145383,19.5867568190647,19.9648630514077,20.397034399804,20.5090830545534,20.512377309028
"11",1986-03-31 22:00:00,91,600,11.2834732483549,11.1366097197986,86.0388535207376,86.8814505793492,1.63699227848467,2.58824703453677,0,0,48.2239547895408,90,0,6.76348061083871,0,0,0,0,0.2178,11.8575746687515,17.0412429398488,17.7172067768592,18.5992036144294,19.162755674611,19.5332386848464,19.9494603306358,20.3896821158022,20.508676542651,20.512377309028
"12",1986-03-31 23:00:00,91,660,11.2285864477515,11.226373901459,85.540063057494,85.5526212459689,1.71228249798744,2.7072883335819,0,0,55.4819557905925,90,0,7.28903257848219,0,0,0,0,0.2178,11.2373344360733,16.8338931878036,17.494257126713,18.4386032073887,19.0577216332431,19.4713376719836,19.930808690874,20.3822016938472,20.5082461477186,20.512377309028
"13",1986-04-01 00:00:00,91,720,11.1229503206915,11.1648419877844,84.1086545360625,83.875047305418,1.85602193684693,2.93455463242997,0,0,64.5155483371221,90,0,7.32720218704031,0,0,0,0,0.2178,10.9538632376179,16.636563151093,17.2763082221988,18.2806279986256,18.9468277281133,19.402262142843,19.9086475534928,20.3745323005847,20.5077914551586,20.512377309028
"14",1986-04-01 01:00:00,91,780,11.2331984361644,11.3626122206594,82.2992626720123,81.5960212182833,1.9937522541609,3.1523199145507,0,0,72.6848546012955,90,0,7.53858845896076,0,0,0,0,0.2178,10.7010368882189,16.4409152695828,17.0702955132869,18.1238778409667,18.8328506186964,19.3273402369032,19.8828614052473,20.3666113069967,20.5073118282525,20.512377309028
