ID,Trial,Fam,Temp,lnTMG,pop
OL28A9,3,10OL,16,0.00559615,OL
OL28A9,4,10OL,33,0.046341733,OL
OL2D1,2,1OL,25,0.09512376,OL
OL2D1,1,1OL,21,0.122427561,OL
OL2D10,2,1OL,25,0.120420821,OL
OL2D10,3,1OL,31,0.110200061,OL
OL2D10,1,1OL,21,0.178160928,OL
OL2D11,2,1OL,25,0.263290386,OL
OL2D11,1,1OL,21,0.212456663,OL
OL2D12,3,1OL,16,0.115027812,OL
OL2D12,2,1OL,25,0.301281345,OL
OL2D12,1,1OL,21,0.197712566,OL
OL2D13,3,1OL,16,0.103626781,OL
OL2D13,2,1OL,25,0.132737022,OL
OL2D13,1,1OL,21,0.191888878,OL
OL2D14,2,1OL,25,0.178933641,OL
OL2D14,1,1OL,21,0.158951579,OL
OL2D15,3,1OL,16,0.065228984,OL
OL2D15,2,1OL,25,0.159725087,OL
OL2D15,1,1OL,21,0.144979383,OL
OL2D16,1,1OL,21,0.122144367,OL
OL2D17,3,1OL,16,-0.003251152,OL
OL2D17,2,1OL,25,0.177106795,OL
OL2D17,1,1OL,21,0.193425695,OL
OL2D18,3,1OL,16,0.020100672,OL
OL2D18,2,1OL,25,0.170745216,OL
OL2D18,1,1OL,21,0.133075791,OL
OL2D19,3,1OL,21,0.057972237,OL
OL2D19,2,1OL,27,0.136035686,OL
OL2D19,1,1OL,18,0.076528075,OL
OL2D2,2,1OL,25,-0.037806388,OL
OL2D2,1,1OL,21,0.111324972,OL
OL2D20,2,1OL,24,0.117172431,OL
OL2D20,1,1OL,29,0.248611312,OL
OL2D21,1,1OL,29,0.226136395,OL
OL2D22,2,1OL,24,0.111652581,OL
OL2D22,1,1OL,29,0.144002383,OL
OL2D23,2,1OL,24,0.148064832,OL
OL2D23,1,1OL,29,0.228572888,OL
OL2D24,2,1OL,24,0.130115356,OL
OL2D24,1,1OL,29,0.368706423,OL
OL2D25,1,1OL,29,0.259259401,OL
OL2D3,2,1OL,25,0.159268413,OL
OL2D3,3,1OL,31,0.036597478,OL
OL2D3,1,1OL,21,0.125481359,OL
OL2D4,2,1OL,25,0.172993818,OL
